39921567, CI.RUN., 9.3, 0.4, 14.6, 0.4, nan, 0.3, c, 20220124023838010 
39921567, CI.CRR., 12.4, 0.4, 17.4, 0.4, nan, 0.3, b, 20220124023838010 
39922991, CI.CHR., 14.4, 0.4, 19, 0.4, nan, 0.3, b, 20220125172319330 
39923159, CI.WMF., 5.21, 0.4, 14.8, 0.4, nan, 0.3, c, 20220125192818690 
39923247, CI.CHR., 14.4, 0.4, 18.9, 0.4, nan, 0.3, b, 20220125212130440 
39923247, CI.MPI., 15, 0.4, 20.1, 0.4, nan, 0.3, b, 20220125212130440 
39923479, CI.CGO., 10.4, 0.4, 14.2, 0.4, nan, 0.3, b, 20220126050555330 
39923623, CI.CCA., 16.8, 0.4, 19, 0.4, 18.7, 0.3, b, 20220126095905010 
39923679, CI.WAS2., 13.3, 0.4, 15.9, 0.4, nan, 0.3, b, 20220126103830020 
39924543, CI.CCA., 12.6, 0.4, 17.6, 0.4, nan, 0.3, c, 20220127033401460 
39924855, CI.LMR2., 12.9, 0.4, 16.8, 0.4, nan, 0.3, b, 20220127095426310 
39926031, CI.CWP., 9.96, 0.4, 16.5, 0.4, nan, 0.3, a, 20220128104007860 
39926527, CI.WAS2., 8.17, 0.4, 13.7, 0.4, nan, 0.3, b, 20220128203303970 
39927023, CI.OSI., 4.92, 0.4, 13.8, 0.4, nan, 0.3, a, 20220129055641000 
39927023, CI.TER2., 12.5, 0.4, 18.4, 0.4, nan, 0.3, a, 20220129055641000 
39929351, CI.CWP., 10.4, 0.4, 17.4, 0.4, nan, 0.3, b, 20220131234528720 
39929351, AZ.LVA2., 15.6, 0.4, 22.3, 0.4, nan, 0.3, b, 20220131234528720 
39929439, CI.SWP., 15.8, 0.4, 20.3, 0.4, nan, 0.3, b, 20220201012424220 
39929439, CI.SLV., 15.2, 0.4, 21.2, 0.4, nan, 0.3, c, 20220201012424220 
39929991, CI.RUN., 10.9, 0.4, 14.7, 0.4, nan, 0.3, b, 20220201192630930 
39930519, CI.FRK., 12.2, 0.4, 17.7, 0.4, nan, 0.3, b, 20220202070130500 
39930623, CI.WWC., 8.85, 0.4, 15.3, 0.4, nan, 0.3, b, 20220202100105740 
39930623, CI.FRK., 12.3, 0.4, 19.9, 0.4, nan, 0.3, b, 20220202100105740 
40175136, CI.SBB2., 14.9, 0.4, 21.5, 0.4, nan, 0.3, c, 20220203075810850 
37387020, CI.CWP., 11.1, 0.4, 15.8, 0.4, nan, 0.3, c, 20220203151832540 
40175560, CI.DTP., 14.1, 0.4, 17.6, 0.4, nan, 0.3, b, 20220203170822680 
40176336, CI.RKMO., 10.5, 0.4, 17, 0.4, nan, 0.3, c, 20220204105219770 
40176336, CI.CWP., 12.3, 0.4, 18.8, 0.4, nan, 0.3, a, 20220204105219770 
40177192, CI.SDG., 6.68, 0.4, 16.5, 0.4, nan, 0.3, c, 20220205074104630 
40177200, CI.HAY., 10.3, 0.4, 13.7, 0.4, nan, 0.3, b, 20220205074909660 
40177200, CI.YUH2., 11.3, 0.4, 15.7, 0.4, nan, 0.3, b, 20220205074909660 
40177816, CI.SLH., 6.73, 0.4, 15.8, 0.4, nan, 0.3, b, 20220205183420810 
40177968, CI.NCH., 9.94, 0.4, 14.3, 0.4, nan, 0.3, c, 20220205234904960 
40178728, CI.PSR., 8.61, 0.4, 15.6, 0.4, nan, 0.3, c, 20220206232447510 
40178728, CI.RIO., 10.9, 0.4, 17.1, 0.4, nan, 0.3, b, 20220206232447510 
40178728, AZ.LVA2., 15.7, 0.4, 21.9, 0.4, nan, 0.3, c, 20220206232447510 
40179016, CI.LMR2., 11.8, 0.4, 14.9, 0.4, nan, 0.3, b, 20220207121028870 
40180552, CI.KRV3., 12.3, 0.4, 15.5, 0.4, nan, 0.3, b, 20220209014742470 
40180600, CI.CWC., 7.89, 0.4, 12.6, 0.4, nan, 0.3, b, 20220209040551690 
40180600, CI.CLC., 14, 0.4, 16.7, 0.4, nan, 0.3, b, 20220209040551690 
40180784, CI.YUH2., 10.9, 0.4, 14.6, 0.4, nan, 0.3, a, 20220209121834630 
40180784, CI.IKP., 13.6, 0.4, 15.7, 0.4, nan, 0.3, c, 20220209121834630 
40182952, CI.SRT., 4.95, 0.4, 11.7, 0.4, nan, 0.3, c, 20220211121842170 
40183048, CI.SRT., 4.92, 0.4, 12, 0.4, nan, 0.3, b, 20220211141550450 
40183056, CI.CCA., 15, 0.4, 18.2, 0.4, nan, 0.3, a, 20220211142113660 
40183624, CI.SLH., 3.36, 0.4, 13.4, 0.4, nan, 0.3, b, 20220211232548160 
